,LONG DESCRIPTION,DIAGNOSIS CODE,processed_description,Cluster
805,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness",85201,subarachnoid hemorrhage following injury without mention of open intracranial wound with no loss of consciousness,0
806,Sciatica,7243,sciatica,1
807,Anomalies of cerebrovascular system,74781,anomalies of cerebrovascular system,1
808,"General psychiatric examination, other and unspecified",V702,general psychiatric examination other and unspecified,7
809,Renal colic,7880,renal colic,1
810,Degeneration of cervical intervertebral disc,7224,degeneration of cervical intervertebral disc,1
811,Other specified disorders of biliary tract,5768,other specified disorders of biliary tract,3
812,Other specified symptoms associated with female genital organs,6258,other specified symptoms associated with female genital organs,3
813,Bell's palsy,3510,bells palsy,1
814,Secondary malignant neoplasm of genital organs,19882,secondary malignant neoplasm of genital organs,2
815,Suicidal ideation,V6284,suicidal ideation,1
816,"Thyroid dysfunction of mother, delivered, with or without mention of antepartum condition",64811,thyroid dysfunction of mother delivered with or without mention of antepartum condition,1
817,Lump or mass in breast,61172,lump or mass in breast,1
818,Obstructive hydrocephalus,3314,obstructive hydrocephalus,1
819,"Acute pericarditis, unspecified",42090,acute pericarditis unspecified,5
820,Perforation of intestine,56983,perforation of intestine,1
821,"Complications affecting other specified body systems, not elsewhere classified",99799,complications affecting other specified body systems not elsewhere classified,8
822,"Hemiplegia, unspecified, affecting dominant side",34291,hemiplegia unspecified affecting dominant side,7
823,Secondary malignant neoplasm of small intestine including duodenum,1974,secondary malignant neoplasm of small intestine including duodenum,2
824,"Diastolic heart failure, unspecified",42830,diastolic heart failure unspecified,3
825,"Undersocialized conduct disorder, aggressive type, unspecified",31200,undersocialized conduct disorder aggressive type unspecified,7
826,"Acute gastritis, without mention of hemorrhage",53500,acute gastritis without mention of hemorrhage,5
827,Multiple involvement of mitral and aortic valves,3968,multiple involvement of mitral and aortic valves,1
828,"Alcoholic gastritis, without mention of hemorrhage",53530,alcoholic gastritis without mention of hemorrhage,1
829,"Trimalleolar fracture, open",8247,trimalleolar fracture open,10
830,Fever presenting with conditions classified elsewhere,78061,fever presenting with conditions classified elsewhere,1
831,Diaphragmatic hernia without mention of obstruction or gangrene,5533,diaphragmatic hernia without mention of obstruction or gangrene,4
832,"Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled",25040,diabetes with renal manifestations type ii or unspecified type not stated as uncontrolled,6
833,Intracranial and intraspinal abscess of unspecified site,3249,intracranial and intraspinal abscess of unspecified site,7
834,Secondary and unspecified malignant neoplasm of lymph nodes of axilla and upper limb,1963,secondary and unspecified malignant neoplasm of lymph nodes of axilla and upper limb,2
835,"Nodular lymphoma, intra-abdominal lymph nodes",20203,nodular lymphoma intraabdominal lymph nodes,1
836,Malignant neoplasm of other parts of bronchus or lung,1628,malignant neoplasm of other parts of bronchus or lung,2
837,Carcinoma in situ of cervix uteri,2331,carcinoma in situ of cervix uteri,1
838,Contusion of chest wall,9221,contusion of chest wall,1
839,Mixed incontinence (male) (female),78833,mixed incontinence male female,1
840,"Osteoarthrosis, generalized, site unspecified",71500,osteoarthrosis generalized site unspecified,7
841,Closed fracture of subtrochanteric section of neck of femur,82022,closed fracture of subtrochanteric section of neck of femur,10
842,Nutritional marasmus,261,nutritional marasmus,1
843,Chronic cholecystitis,57511,chronic cholecystitis,3
844,"Open wound of nose, unspecified site, without mention of complication",87320,open wound of nose unspecified site without mention of complication,0
845,"Acute myocardial infarction of inferoposterior wall, initial episode of care",41031,acute myocardial infarction of inferoposterior wall initial episode of care,5
846,Closed fracture of shaft of fibula with tibia,82322,closed fracture of shaft of fibula with tibia,10
847,"Epilepsy, unspecified, with intractable epilepsy",34591,epilepsy unspecified with intractable epilepsy,7
848,Other specified anemias,2858,other specified anemias,3
849,Generalized pain,78096,generalized pain,1
850,"Acute myocardial infarction of anterolateral wall, initial episode of care",41001,acute myocardial infarction of anterolateral wall initial episode of care,5
851,"Acute myeloid leukemia, in relapse",20502,acute myeloid leukemia in relapse,5
852,Poisoning by other sedatives and hypnotics,9678,poisoning by other sedatives and hypnotics,1
853,"Other forms of epilepsy and recurrent seizures, without mention of intractable epilepsy",34580,other forms of epilepsy and recurrent seizures without mention of intractable epilepsy,1
854,"Knee, leg, ankle, and foot injury",9597,knee leg ankle and foot injury,1
855,"Chronic obstructive asthma, unspecified",49320,chronic obstructive asthma unspecified,3
856,"Accidental puncture or laceration during a procedure, not elsewhere classified",9982,accidental puncture or laceration during a procedure not elsewhere classified,1
857,"Pressure ulcer, unspecified site",70700,pressure ulcer unspecified site,7
858,Articular bearing surface wear of prosthetic joint,99646,articular bearing surface wear of prosthetic joint,1
859,"Pressure ulcer, buttock",70705,pressure ulcer buttock,1
860,Aneurysm of unspecified site,4429,aneurysm of unspecified site,7
861,Uric acid nephrolithiasis,27411,uric acid nephrolithiasis,1
862,"Benign neoplasm of kidney, except pelvis",2230,benign neoplasm of kidney except pelvis,2
863,Unspecified nonpsychotic mental disorder,3009,unspecified nonpsychotic mental disorder,7
864,Other psoriasis,6961,other psoriasis,1
865,Critical illness myopathy,35981,critical illness myopathy,1
866,Delusional disorder,2971,delusional disorder,1
867,"Urinary incontinence, unspecified",78830,urinary incontinence unspecified,7
868,Other malignant neoplasm without specification of site,1991,other malignant neoplasm without specification of site,2
869,Unspecified hypertensive heart disease with heart failure,40291,unspecified hypertensive heart disease with heart failure,3
870,Unspecified viral infection,07999,unspecified viral infection,7
871,Other symptoms involving nervous and musculoskeletal systems,78199,other symptoms involving nervous and musculoskeletal systems,1
872,Olecranon bursitis,72633,olecranon bursitis,1
873,Atherosclerosis of native arteries of the extremities with gangrene,44024,atherosclerosis of native arteries of the extremities with gangrene,1
874,Toxic diffuse goiter without mention of thyrotoxic crisis or storm,24200,toxic diffuse goiter without mention of thyrotoxic crisis or storm,1
875,"Bronchitis, not specified as acute or chronic",490,bronchitis not specified as acute or chronic,5
876,"Mechanical complication of nervous system device, implant, and graft",9962,mechanical complication of nervous system device implant and graft,8
877,Other specified hypoglycemia,2511,other specified hypoglycemia,3
878,Contact dermatitis and other eczema due to other specified agents,69289,contact dermatitis and other eczema due to other specified agents,3
879,Other constipation,56409,other constipation,1
880,Other specified transient cerebral ischemias,4358,other specified transient cerebral ischemias,3
881,"Ulcer of lower limb, unspecified",70710,ulcer of lower limb unspecified,9
882,"Catatonic type schizophrenia, unspecified",29520,catatonic type schizophrenia unspecified,6
883,Left heart failure,4281,left heart failure,3
884,Defibrination syndrome,2866,defibrination syndrome,1
885,Closed fracture of C5-C7 level with unspecified spinal cord injury,80605,closed fracture of c5c7 level with unspecified spinal cord injury,10
886,"Other mechanical complication of genitourinary device, implant, and graft",99639,other mechanical complication of genitourinary device implant and graft,8
887,Other acquired deformities of ankle and foot,73679,other acquired deformities of ankle and foot,1
888,Infection and inflammatory reaction due to peritoneal dialysis catheter,99668,infection and inflammatory reaction due to peritoneal dialysis catheter,1
889,Convalescence following surgery,V660,convalescence following surgery,1
890,Acute alcoholic hepatitis,5711,acute alcoholic hepatitis,5
891,"Other malignant lymphomas, intra-abdominal lymph nodes",20283,other malignant lymphomas intraabdominal lymph nodes,1
892,Generalized and unspecified atherosclerosis,4409,generalized and unspecified atherosclerosis,7
893,Other kyphoscoliosis and scoliosis,73739,other kyphoscoliosis and scoliosis,1
894,Closed fracture of third cervical vertebra,80503,closed fracture of third cervical vertebra,10
895,Hip joint replacement,V4364,hip joint replacement,1
896,Obstructive sleep apnea (adult)(pediatric),32723,obstructive sleep apnea adultpediatric,1
897,Sepsis,99591,sepsis,1
898,"Osteoarthrosis involving, or with mention of more than one site, but not specified as generalized, multiple sites",71589,osteoarthrosis involving or with mention of more than one site but not specified as generalized multiple sites,3
899,Secondary hyperparathyroidism (of renal origin),58881,secondary hyperparathyroidism of renal origin,1
900,"Mechanical complication due to other implant and internal device, not elsewhere classified",99659,mechanical complication due to other implant and internal device not elsewhere classified,8
901,Occlusion and stenosis of vertebral artery without mention of cerebral infarction,43320,occlusion and stenosis of vertebral artery without mention of cerebral infarction,1
902,"Shock, unspecified",78550,shock unspecified,7
903,"Diabetes with ketoacidosis, type II or unspecified type, not stated as uncontrolled",25010,diabetes with ketoacidosis type ii or unspecified type not stated as uncontrolled,6
904,"Spondylosis with myelopathy, lumbar region",72142,spondylosis with myelopathy lumbar region,1
